CP,f1,f2,f3,f4,f5,f6,f7,f8
-0.76622,0.934,0.26756,0.073567,0.27284,0.67089,0.45677,-1.0872,-0.8623
0.31802,1.4165,0.50864,-0.36474,-0.3345,0.68327,0.91895,-0.51763,-0.2485
-0.124,1.11,0.35092,0.80864,0.72826,0.59619,0.82932,-1.4002,-0.58485
-0.65427,0.97999,1.0143,-0.93662,-0.48339,0.72974,0.94382,-2.229,-0.96897
-1.2773,1.5665,0.49968,1.1209,0.69725,1.242,0.99559,-1.0702,0.66371
-1.0883,0.64788,0.83858,-0.64367,0.24011,0.65905,1.3149,-1.8767,-1.1847
-0.49669,0.40147,1.4303,1.1085,0.92232,0.72882,1.3557,-2.4419,1.0494
0.18282,0.92945,1.065,0.1496,0.39346,1.665,1.2445,-1.7201,-0.81957
-0.72034,0.3649,1.4977,-0.24893,-0.32172,1.08,1.192,-2.0316,-1.0268
0.75299,0.14397,1.617,0.32336,-0.41681,0.77248,1.6027,-1.9562,0.77029
-1.1633,0.16992,0.63511,1.2044,-0.49265,1.1566,1.8782,-0.96266,0.054833
-1.775,0.15796,0.67386,1.2181,-0.62644,2.3852,1.1296,-2.5482,0.063521
-0.3906,-0.62979,1.0949,0.15771,0.65846,1.0099,2.4848,-1.666,-2.7345
-0.9147,-0.53765,0.48474,0.4238,0.17839,1.8396,1.2205,-1.6522,-0.40471
-0.48091,-0.24266,0.052292,0.24774,0.20845,1.933,1.4181,-1.4088,-1.145
-0.56165,-1.2845,0.60662,-0.57022,0.17562,0.25585,0.97575,-1.1219,-1.8544
-0.92852,-0.81447,-0.071119,0.31053,0.20517,0.91523,1.191,-0.76386,-1.1903
0.55924,-0.46527,-0.54444,0.38875,-1.1893,1.1882,-0.36893,-1.3224,-0.063711
0.094813,-0.67306,0.055314,-0.40713,0.15069,-0.40633,1.2093,-0.33386,-1.6392
-1.3424,-0.14354,-0.033166,-0.35321,-0.98544,0.1412,-0.075913,-0.6351,-0.6997
-1.8627,-0.20945,-0.0043808,0.4021,-0.051221,-1.105,1.6229,-0.70737,-1.1714
-1.0721,1.1056,-0.73619,0.37376,-1.0694,1.0232,0.44441,-0.47391,0.37836
-0.23878,-0.13681,-0.23328,0.11457,0.2007,-0.71523,0.50834,-1.1242,-0.8674
-1.7135,0.15986,-0.2236,0.31783,-0.54547,-0.50989,0.91797,-1.0032,0.54521
-2.0543,1.6545,-0.37682,0.66364,-1.096,0.9429,0.57438,-0.71539,0.79078
-0.67678,1.0684,-0.70501,0.89459,-0.79196,0.89769,0.44681,-0.16302,-1.1986
-0.48587,-0.75479,0.19402,-0.37851,-0.33917,-0.89227,1.116,-1.4345,-0.64854
1.1969,0.852,0.26975,0.056346,0.71587,0.30475,0.2938,-1.4117,1.0644
1.7475,0.45712,-0.037707,0.25854,-0.17624,-0.17805,0.35141,-0.33123,-0.72558
1.7924,0.55616,0.50484,-0.21519,0.74863,0.087909,0.98216,-0.33704,-2.3417
0.18089,0.75042,0.26696,0.58213,-0.28463,0.59645,0.52469,-0.037639,-0.18586
-0.2748,0.1267,0.40743,-0.78062,-0.2487,1.0962,0.0066279,-0.37349,-0.56089
-2.6862,0.021414,0.25133,0.10523,0.85157,0.31071,0.013467,-0.093977,-0.87855
-2.5193,0.29338,0.82578,-0.35917,0.85923,0.82596,0.38961,-0.63682,0.013534
-2.8728,0.47554,-0.19577,0.1867,0.17691,0.3541,-0.13708,0.46379,-0.86893
-3.9498,0.6743,0.26171,-0.36845,-0.063784,0.36377,-0.21828,0.026164,-1.0798
-4.408,0.92748,0.21336,0.21827,0.097016,0.66768,0.31888,0.37421,-0.047262
-3.7344,0.32597,0.71319,0.60034,0.4274,-0.86197,0.65737,-0.32591,-0.50934
-4.3529,0.65578,0.69251,-0.11772,-0.304,-0.25384,-0.39641,-0.88308,0.20159
-2.554,0.76155,0.55821,0.097522,0.36652,0.38324,0.11193,0.1949,-0.12681
-2.8715,0.62237,1.0126,-0.95859,-0.57738,0.48506,-0.13454,-0.61601,0.46589
-3.6995,-0.061099,1.0009,0.7293,1.3139,-0.13802,-0.57425,0.021418,-1.012
-1.9668,-0.044931,1.8059,0.015902,1.2412,0.47354,-0.23837,0.91826,-1.5629
-2.0848,0.56824,2.3074,-0.11479,-0.26803,0.87803,-0.3299,0.4522,1.098
-1.2077,0.1801,1.3561,1.3209,-0.31311,0.7359,-0.54029,0.023408,1.12
-1.6827,0.21344,1.579,-0.016262,0.75762,1.3197,0.22992,0.9266,-0.57517
-0.7863,-0.44702,1.3513,0.16219,-0.22996,0.042744,-1.0384,0.76347,-0.33542
0.36705,-0.051196,1.4769,-0.026923,0.62637,0.91446,-0.20182,-0.15967,-0.33979
-0.59795,-0.97599,1.5384,-0.64546,0.34272,-0.25721,0.61752,0.32707,-1.3929
2.9128,-0.2729,1.8724,0.71407,-0.18991,-0.42853,0.15745,-0.59252,0.61278
0.86823,-1.9805,1.8383,-0.10564,0.32657,-0.76069,0.058369,-1.1404,-0.66347
0.32123,-0.83685,0.97842,0.75592,0.30007,1.3204,-1.4257,-0.52714,1.4829
1.0827,-1.0652,0.30629,-0.15847,0.92243,0.93732,1.0112,0.44476,0.10178
2.1977,-1.3182,1.1657,-0.33656,-0.8447,0.21554,-0.11404,0.32372,0.64264
0.63136,-0.97978,0.71366,1.772,-0.80034,-1.2087,-0.50277,0.35286,3.0086
2.2048,-0.83808,0.075877,-0.28901,-0.36948,-0.45325,-0.20585,0.17275,0.039067
3.1681,-0.24136,-0.12254,-0.044479,0.25139,0.24776,0.19967,-0.21992,0.14265
2.9314,-1.1066,-0.62981,-0.024783,0.46787,-1.0664,0.7813,0.3405,-0.64103
0.76198,-1.2418,-0.43855,-1.431,-0.44421,-0.60037,-0.79628,-0.076638,-1.1255
1.3872,-2.3641,0.09343,-0.7787,0.79941,-2.7598,-1.0531,-0.9869,-1.207
1.4137,-1.6014,-0.52779,-0.4306,0.4683,-0.91887,-0.35157,0.3102,0.96333
2.259,1.2904,-2.6531,0.66854,-0.7132,2.5353,-1.5191,2.5315,1.1795
4.0501,0.20128,-1.8511,0.19883,0.62184,-0.10998,-0.055854,0.79619,-0.45304
3.033,-0.3027,-1.4022,-0.90798,0.65362,-0.41999,-0.206,0.34823,-0.46648
0.99714,-0.27777,-0.71427,-0.47717,0.57052,-0.8996,-0.64088,0.1726,-0.0096343
2.8804,0.62299,-0.38629,-0.20242,-0.22737,-1.1818,-0.52068,0.73372,-0.85158
-0.091939,0.72549,0.203,-0.5094,-0.27633,-1.607,0.25181,0.93081,0.55369
1.0733,0.32369,-0.37837,0.24864,-0.62133,-1.5048,-1.2398,0.67214,0.35335
2.4523,0.21325,-0.020841,0.34191,0.73451,-2.2124,0.059861,0.37024,0.65968
-0.91235,-0.0016027,0.10962,-1.1205,1.0859,-1.2753,-0.96764,0.085753,0.11379
-0.60585,1.0207,-1.0272,0.13707,1.2511,0.58887,-0.51391,1.5988,0.77636
-0.42566,0.49362,-0.78372,-0.63197,0.044062,-0.52039,-1.1937,0.64945,1.5745
-0.83811,0.57064,-0.46021,-0.40207,0.74927,-0.24573,-1.1682,0.9683,1.5276
0.34426,1.1227,-0.82987,-1.2859,0.19974,-0.19903,-0.84034,0.68934,-1.2563
2.3255,1.9571,-1.474,-0.39399,1.2782,0.40245,-0.10419,1.1307,0.43636
1.5743,1.1581,-0.81034,-0.98828,0.08813,-0.999,-0.14236,0.59278,0.050255
1.5489,1.3225,-0.68066,0.55759,1.3316,-1.2863,-0.43683,0.63375,-0.44769
2.2993,1.213,-0.28341,-0.35482,0.012362,-0.8285,-0.61624,0.24578,0.48473
1.4599,0.84085,-0.0008871,-1.148,1.0664,-1.0541,-0.34951,-0.10761,-0.076878
1.2517,0.75411,-0.049412,-0.34727,1.3054,-1.4393,-0.65492,0.20058,0.27141
2.9125,0.28431,-0.22051,-0.99964,0.074737,-1.4593,-0.2238,0.89805,-0.32954
2.0213,1.7329,-0.55635,0.071906,1.0134,0.022526,-0.59842,1.3292,-0.50345
0.26286,1.3552,0.022444,-1.1184,-0.25982,-1.3913,-1.219,0.28565,0.27454
1.0899,1.821,-0.44279,0.74353,1.5917,-0.18434,0.013429,1.358,0.03551
1.2809,1.8791,-0.17282,-1.2825,0.62367,-0.074051,-0.74186,0.21628,-1.0818
-0.214,2.0464,-0.086816,-0.36119,0.82601,-0.37942,-0.44218,0.93899,-0.43793
0.78694,1.8086,0.61687,-0.82916,1.0728,-0.99498,-0.62135,0.38678,-0.23785
0.39201,2.1387,1.1459,-1.0676,1.061,0.065978,-1.7486,-0.57447,1.8196
-1.8187,1.198,1.591,-1.4691,0.82786,-1.1385,-0.86001,-0.14846,0.2597
-1.0028,0.39441,1.4809,0.088734,2.1913,-1.2825,-0.074893,-0.64344,0.11958
-2.7078,0.95063,1.2391,-0.43447,1.2567,-0.2646,-0.106,1.3808,0.7812
-2.9871,0.79269,1.9728,-0.75488,1.3928,-0.9772,-0.71645,0.17909,0.11373
-1.3935,0.48894,1.813,2.2389,1.8339,-0.84026,-1.0943,2.3136,-0.24052
-4.567,0.3045,3.5836,-5.2216,-2.9039,-0.36866,-2.4563,-0.91318,-0.53531
-4.8349,0.41617,0.92859,4.8679,4.1403,0.90464,-0.068634,2.477,0.24907
-1.9454,0.7551,1.3633,-1.8669,0.81185,2.9152,-0.92095,1.2039,-1.1179
-3.3247,0.76032,2.8189,-0.25834,0.14262,0.825,-1.0642,-0.1457,0.86602
-2.4538,-0.37241,3.0774,-0.4794,1.515,0.29161,0.22665,-0.54378,1.5124
-0.70136,-0.38607,2.7239,-1.1107,-0.26185,0.46723,-1.0166,-0.33796,-1.4716
-2.0071,-0.42011,1.8014,-0.83589,1.5871,0.41614,-1.2799,-0.28509,1.0012
-1.5434,0.12573,1.5996,0.47245,0.48343,-0.20837,-0.58057,0.67121,-0.79873
-1.7078,-0.23101,2.3617,1.7382,1.0088,-0.78947,0.059422,1.2669,0.30664
0.63024,0.27214,2.5279,-0.63685,-0.86566,1.8317,-1.4373,0.32288,0.28794
-0.46453,-0.72437,2.4853,1.442,1.131,1.3413,-0.67992,1.3144,0.052266
0.40667,-0.77746,3.6196,-0.18301,-0.3787,1.3589,-0.73071,1.3307,0.94132
-5.2423,-1.0386,3.1946,0.012017,-1.5224,0.34445,-0.74106,-0.34264,1.0326
-0.8831,-1.5251,2.5812,1.5021,0.73124,1.0685,0.95532,-0.31265,3.395
0.22993,-1.922,1.1516,0.026639,0.9261,1.8007,1.0774,0.19211,0.12079
-0.99861,-3.7615,1.4924,-0.45763,0.77551,-0.8523,-0.33636,-1.0153,-1.0874
0.65542,-4.767,1.5399,0.46166,0.86178,-2.6147,0.52405,-1.4016,0.91843
1.5294,-3.4774,-0.92813,0.3785,-0.43914,-0.079358,-0.95019,-0.33067,-1.1852
-0.73983,-3.6041,-1.5249,0.27223,-0.16076,-0.41015,0.72662,0.71047,-2.7351
2.3103,-2.7554,-1.1258,0.45044,-1.3784,-0.85562,1.7992,0.50167,-1.0308
4.3881,-1.2322,-1.4353,1.2254,-3.3885,-0.29686,-0.11131,0.014703,-0.0054375
3.1452,-0.89082,-2.044,0.67082,-0.68545,0.66512,0.82151,0.67245,-1.2972
-0.58873,-0.54643,-1.5378,-0.34858,-2.5679,1.1275,0.8952,1.4236,-0.4029
1.5697,0.68069,-0.78548,0.38202,-3.133,0.53515,-0.56583,-0.54846,-0.41732
0.73044,0.69515,-0.57775,2.4045,-0.55229,-0.22666,1.8124,-0.41269,1.1733
2.9044,0.53256,-0.81582,-0.14002,-1.695,0.85797,0.6183,-0.43962,0.65544
0.95105,0.097086,-0.83316,-0.063598,0.52156,0.64894,0.7026,-1.6838,-0.81554
-0.56701,-0.049977,-1.3318,-0.26831,-0.38224,0.1975,1.1645,-0.065446,-0.34445
1.4876,0.87103,-1.1914,1.0485,-0.65583,0.57814,0.559,-0.80106,0.52709
3.959,1.3148,-1.9498,0.2426,0.50985,2.116,0.72549,-0.035712,-1.5739
2.9387,1.2406,-1.1183,0.15764,0.43134,0.45331,1.6745,-0.17189,-0.81423
2.561,0.3915,-0.52026,-0.042782,-0.23044,-0.55283,0.65545,-1.1384,-0.75693
1.1399,0.60759,-0.4732,-0.5928,0.10249,0.59026,0.52764,-1.4962,-0.21682
1.8557,0.40326,0.066162,-0.18848,-0.97954,-0.78668,1.0763,-0.55574,0.15858
1.808,-0.14868,-0.25424,0.33323,-0.51606,-0.67703,-0.4084,-0.97513,0.063015
2.4655,0.29607,-0.53021,-0.38834,0.15671,0.26638,0.55045,-0.81444,-0.55326
1.1078,0.1937,-0.51042,0.044359,0.11175,0.019692,0.83936,0.0076611,1.167
0.63793,0.31788,-0.21285,-0.65381,0.49436,-0.25072,-0.14172,-0.85147,-0.33751
0.3837,-0.22158,-0.31114,-0.32099,0.2306,-0.54505,0.53362,-0.26721,1.015
0.42321,1.0003,-1.0034,0.58336,-0.2589,0.97165,0.087087,0.93101,1.3732
0.30649,0.89351,-1.1885,-0.32399,0.0072179,0.8886,-1.1701,0.26949,0.2725
3.6156,0.1786,0.25415,-0.4678,0.13198,-1.2972,1.2883,-0.1463,-0.60196
3.234,1.2518,-0.27888,-0.74998,-1.0076,0.2431,-1.2386,-0.55372,2.2072
2.6734,1.5953,-0.75662,0.82557,1.0583,-0.50373,0.30779,0.62639,0.71583
2.5302,1.0988,-0.17424,-0.69028,0.47916,-0.099619,0.2096,-0.407,0.75463
1.2848,1.0725,0.017345,0.45931,0.65242,-0.95601,0.32427,0.19803,-0.27534
0.59135,0.96255,-0.057255,-0.18078,0.68857,-0.049083,-0.42161,-0.32736,0.73616
0.15853,0.81415,-0.13377,-0.61103,0.67143,-0.70819,0.21497,0.24751,-0.30979
0.44072,0.60531,0.36631,-0.0055143,0.62437,-1.2714,-0.045087,0.09049,0.39067
-0.016618,0.75583,0.31713,-0.29555,0.62409,-0.42576,-0.018913,0.27167,0.10432
0.5837,0.89654,0.23996,-0.26258,0.15356,-0.94169,-0.53795,0.15194,0.43326
0.3697,0.77606,0.23493,-1.4057,0.54183,-0.51428,-0.26496,0.20456,-0.015227
-0.041861,1.2197,-0.28409,0.13902,1.0322,-0.71657,0.059128,0.33908,0.36537
0.5465,-0.48818,1.5375,-1.3855,0.91142,-2.7298,1.0648,-0.93012,0.19927
0.92769,0.96183,-0.032955,0.47534,0.39197,0.015994,-0.89988,-0.084385,0.47179
1.5957,1.6885,-0.21906,-0.39318,-0.19748,1.0951,-1.0679,0.23139,1.3658
0.9741,2.1051,-0.30109,-0.62848,0.34752,0.94171,-0.84894,1.2711,-1.1306
-0.51303,0.83585,0.59965,-0.44289,0.76694,-0.88153,-0.07646,0.34128,-1.8946
0.48743,1.4113,0.43788,-0.489,0.89135,-0.54533,-0.48963,0.25441,0.28287
0.14434,0.3168,0.8141,-0.18362,1.554,-1.4834,-0.15249,-0.28413,0.67304
-0.71495,0.90264,-0.24387,-0.61375,1.6983,0.20386,-0.67755,0.55108,-1.3463
-1.5905,0.72322,0.84769,-0.93974,-0.12479,-0.76162,-0.35124,0.65021,0.17461
1.0314,1.2524,1.0413,-0.15576,0.37367,-0.55747,-0.75697,0.069809,0.20197
-2.4847,1.3604,1.8518,0.71592,0.59848,-0.66443,0.31859,0.27163,0.86335
-2.5253,0.82225,0.98079,0.17395,0.64951,-0.35867,-0.64086,0.26626,0.096207
-4.3573,0.033721,1.2338,-0.82683,0.05035,-0.32405,-0.17664,-0.24571,-1.6446
-4.9737,0.28474,1.0306,-0.34363,0.27399,0.18706,-0.25183,-0.097343,-0.097384
-2.8627,0.85972,0.47602,-0.25495,0.38216,0.4697,-0.84538,1.213,-0.043582
-3.2003,-1.1064,1.6028,-1.3836,1.218,-1.8757,0.42426,-0.42539,-1.2018
-2.8965,1.1465,0.56954,0.63106,-0.23987,0.4757,-1.5103,0.4902,0.90133
-0.60378,0.020794,0.97117,-0.70792,1.8988,0.5947,0.02726,0.83589,0.59891
-1.7664,-0.3193,1.2806,-0.71532,1.0367,-0.30941,-0.51476,0.41756,0.078101
-1.6098,-0.89273,1.1195,0.24345,0.5861,-0.81972,-1.7424,0.95992,-1.9441
-3.0272,0.25223,1.0986,0.39966,-0.63843,-0.79436,-0.91045,1.3488,-0.39204
-2.5906,0.17467,3.1208,1.4825,-1.2644,-1.4872,-0.36081,1.6567,-0.2421
-6.0463,-0.50103,1.7039,0.5773,-0.57295,-0.22966,-0.39154,0.49001,-0.49072
-2.2939,-0.63842,0.94185,-0.21812,0.31228,1.3486,-0.79111,1.6198,-0.047349
-2.9373,-0.36377,1.5187,-0.75202,-1.0491,1.4483,-1.4742,1.1611,-0.50744
1.3923,-0.28872,2.0467,1.9682,-1.5383,-1.7897,0.6086,1.0702,-1.7806
-8.078,-0.92121,4.3213,1.993,-3.0448,-1.4367,0.27362,0.19537,1.0834
-3.0604,-4.0876,2.4135,1.223,3.5052,2.6182,-0.46142,0.45399,1.7693
0.64691,-4.7859,-1.7176,-3.2766,3.9941,4.112,-0.96154,-0.94412,1.2236
1.7831,-2.6225,-1.2366,-0.75752,0.70952,1.411,-0.79489,2.1665,-1.2942
0.60901,-1.5954,-0.76866,1.4055,-1.2362,-0.96919,-1.2896,1.8146,-0.83471
1.0517,0.45198,0.25608,0.4272,-2.9989,-0.96602,0.079317,1.5683,-1.4539
1.1926,0.94685,-0.24449,1.3271,-2.1932,-0.31661,-0.86226,1.8169,-0.49154
-2.6349,0.96784,0.45691,1.4033,-1.406,0.34732,-0.70927,1.9573,-0.88801
-4.2965,1.0974,2.1315,1.6039,-2.3684,-0.20097,0.14333,3.0446,-1.555
-1.7838,0.1938,3.3712,2.0139,-0.79395,0.61956,-1.6863,2.1115,-0.18281
-3.9304,-1.1778,2.5402,-0.89255,1.0155,2.8935,-2.5434,1.9365,0.076506
0.2548,-0.77951,1.6051,0.14251,-0.93602,0.42161,0.61022,0.7957,0.38827
0.61351,-0.49649,-0.13978,0.53051,1.13,1.8158,0.2383,1.0618,-0.26346
-0.27889,-0.10014,1.1946,1.5121,-0.43107,-0.050487,0.51098,2.1092,-1.0926
1.0592,0.097381,3.183,2.4295,-2.7511,0.0092625,-1.3597,0.86862,-0.54303
5.3613,-1.3056,2.1155,-0.095746,0.75805,4.1575,-1.0899,2.1774,-0.30274
-0.023014,-0.38994,2.8919,0.92219,-1.8893,2.167,-0.23666,2.4431,-0.4443
2.7777,-1.0867,1.5615,1.8284,-1.1972,0.7941,0.25548,0.95032,-0.90245
11.781,-1.868,1.1933,-0.062525,-0.76187,0.11004,0.95647,-1.4668,2.9266
4.2073,-2.2033,-0.15953,0.9548,0.86154,1.418,1.3632,-0.46388,0.92071
10.765,-3.0935,-1.168,-1.606,1.8745,4.1168,-0.4128,-1.0189,1.1449
6.5159,-2.581,-0.027825,0.64655,-0.96642,-0.55141,1.2689,0.331,-0.26036
5.6995,-2.4439,1.116,1.3172,-3.5142,-2.9137,0.43993,-0.11202,-0.9233
2.586,-0.17197,-0.35313,3.4261,-3.3228,2.7993,-1.0054,1.1304,2.331
6.9775,-2.2407,-0.17996,0.80811,0.15432,1.6278,0.35377,1.0267,0.96489
3.5496,-2.1022,0.013333,0.5106,-1.5355,1.1686,-0.021297,1.7352,-1.5754
3.6598,-1.6791,0.0019139,-1.4218,-1.8806,1.8221,-1.4949,0.87219,0.33066
1.2625,-1.8308,1.0083,0.65976,-3.5133,-0.25882,0.52993,0.40304,0.84712
0.67709,-1.9207,-1.3974,1.6944,0.23855,0.43846,-0.1929,-0.020083,1.4115
7.3449,-2.5326,-2.2706,-0.11869,1.5194,1.59,1.3747,-0.28798,0.93807
2.2012,-1.903,-2.0064,0.19481,-0.14501,1.2673,-1.0671,0.81166,-2.4046
5.9486,-2.5148,-1.5627,-1.5917,-0.31149,1.5992,-1.5082,0.59933,-1.85
7.5673,-1.6705,-1.5448,1.0056,-0.043839,-0.015092,-0.78065,1.6436,-0.2028
6.3746,-1.1388,-1.1681,0.31849,0.18959,-0.58963,-0.22535,1.4306,0.47489
2.7372,0.65851,-1.9711,-0.61257,-1.4762,1.853,-0.93764,2.4724,0.75115
4.4678,-0.53593,-0.53033,0.13156,-0.18965,-1.8633,1.0431,1.3585,-0.85022
0.36106,0.34729,-1.2623,0.44953,-0.94103,0.41875,-1.3769,0.75513,-1.1191
1.8598,0.77771,-0.67256,-1.2802,-1.494,1.4904,-1.3183,0.06675,-0.17502
1.9518,0.69023,-1.2156,0.49653,0.27635,0.32051,-0.17538,1.5484,-0.45819
0.53983,1.1731,-0.28333,1.0102,-0.656,-0.75648,-0.65405,0.66751,-0.64079
3.5039,1.7055,-0.18552,0.12981,-0.77458,-0.1793,0.18944,0.77049,-0.41448
2.6824,0.72039,0.2765,0.12607,-0.48648,-1.2967,0.085023,-0.27735,1.2751
0.56827,1.9621,-0.65177,0.04846,0.70009,1.855,0.084219,-0.022694,-0.42364
5.0799,1.0924,-0.58756,-0.47381,0.80405,0.41402,0.14365,0.81312,0.15772
5.1836,1.0756,0.19329,0.099079,0.36266,-0.54108,0.1647,-0.22503,-0.42644
3.1207,1.2666,0.043808,0.23432,0.21662,-0.45251,0.63305,8.12E-05,-0.40958
2.9784,1.7123,-0.56969,-1.0433,-0.63651,1.4887,-0.57094,0.81571,-0.1491
4.0266,1.3981,0.58796,-0.5278,1.6633,-0.83014,0.21693,-0.51905,1.7195
4.2456,0.91368,0.36109,0.53767,0.0609,-1.0558,0.58735,-0.018403,-0.062478
3.2376,1.0324,0.4447,0.027226,0.084942,-0.46298,0.11032,-0.12877,-0.22112
3.6227,0.94844,0.23937,0.86107,-0.22592,-1.7713,0.50325,-0.07784,-0.61186
5.7975,0.95182,0.41512,-0.075986,0.35829,-0.9149,0.52193,0.30391,0.36521
2.8842,0.43607,0.4516,0.1302,-0.21228,-0.14424,-0.66497,-0.81475,-0.012792
3.1684,-0.15423,-0.1904,-0.51007,1.1712,0.70422,-0.43542,-0.0038106,-1.5659
4.4069,-0.098868,0.047333,-0.5389,0.69151,0.076737,0.84274,1.0408,-1.031
4.7576,-0.042177,-0.61321,-0.7212,0.60061,0.55664,0.033877,-0.66025,0.7329
5.9709,0.21827,-1.3507,-0.7134,1.7133,1.0857,-0.189,0.68266,0.061244
4.5796,-0.030947,-0.89787,-0.061721,0.24716,-0.1201,0.28928,0.073764,0.8387
6.5253,-0.19438,-0.59542,-0.74555,0.21932,-0.57964,-0.78913,-0.15921,-1.5098
6.2324,0.013428,-0.53007,-0.40004,-1.3167,-0.84425,-0.50618,0.54267,-1.5878
6.8398,0.56238,-0.41296,0.55528,-0.30826,-1.6625,-0.46439,-0.1592,0.49846
6.4653,-0.48012,-1.213,-1.0598,1.7147,-0.70022,-0.12048,-0.097817,1.0201
6.6096,-0.038034,-1.4096,-0.28456,1.186,0.3442,-0.81013,0.1061,0.0099881
7.7202,-0.47643,-1.2535,-1.2982,1.1438,0.45965,0.01986,0.56139,0.29905
8.6885,-0.44009,-0.37298,-0.50524,0.76337,-1.4532,-0.71542,0.092815,-0.059532
6.436,0.4267,-0.65773,0.084901,0.20193,-0.49473,-0.67207,0.78138,0.89435
5.1135,0.21981,-0.48868,-0.13225,-0.28847,-0.6859,-1.0552,0.47519,0.41624
3.6899,-0.22019,-0.039911,-1.9487,0.75503,-0.91394,-0.28506,0.0074838,0.69773
2.6354,0.11881,-0.91573,-0.81765,0.54863,0.28444,-0.85681,0.566,-0.58156
1.6089,0.17695,-0.74866,-0.3298,0.85398,0.6242,-0.64641,1.5544,-0.60106
2.2393,0.57364,-0.59056,0.64828,0.57019,0.038356,-1.596,0.67388,0.80337
0.37587,-0.86221,-0.66818,0.81533,2.7568,-1.1965,-0.3112,0.77461,-0.14787
0.94084,-0.47433,-1.0478,-0.38197,2.8111,0.21634,-0.35369,1.1227,-0.88639
2.1587,0.080378,-0.83882,-1.6008,0.68714,0.34264,-1.5177,0.84355,-0.089188
3.534,0.11049,0.28431,-2.9243,-1.4107,-0.88372,-0.59758,0.89533,0.061913
2.9762,-0.28826,-0.34187,-0.41661,-0.47913,-1.1133,-1.3447,0.75454,-0.43747
2.5655,0.21417,-0.80464,0.64219,2.1902,0.13086,-0.054614,0.97242,1.1552
2.7817,0.0080107,-0.4442,-1.1827,0.39739,-0.27477,-0.82039,0.3484,0.10989
2.5506,0.34239,-0.45099,-0.7167,-0.48965,-0.077612,-1.5034,0.27023,0.41539
1.0847,-0.057164,-0.065873,0.19096,0.76279,-0.99552,0.65265,0.19855,0.46553
1.2301,0.15962,-0.26823,-0.30727,-0.23745,0.0014654,-0.18479,0.75245,-0.53525
-1.1585,0.61894,-0.51477,-0.33625,0.014378,0.59083,-1.1392,2.5206,0.35912
1.4895,-0.51554,0.78436,-2.493,0.71193,-0.8917,-0.81616,-1.4098,-0.65182
0.65423,1.1694,-1.2489,1.2652,0.20867,0.74632,-1.5526,0.69512,-0.63075
-0.17637,0.31216,-0.31659,-0.058718,0.92278,-0.44824,-0.13695,0.21785,-1.1802
2.8852,0.64905,0.48946,-0.81749,-0.26098,-0.98648,0.65913,0.45091,0.022495
2.2446,0.74265,0.42153,0.81243,-0.13939,-0.8273,0.040667,-0.18696,0.48033
1.5258,0.39156,-0.13085,-0.28113,-0.25766,0.32894,-0.77586,-0.41672,-0.79132
2.7529,0.71786,-0.31547,0.36788,0.43197,0.31074,0.1144,-0.04099,-0.89306
2.7892,0.62982,-0.095406,-0.61512,-0.57446,-0.23765,0.23637,0.48796,-1.3538
3.564,0.56129,0.55793,0.43712,0.11711,-1.6213,0.5177,-0.15203,0.73091
